#HV History: HV value, true eval counters
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+02
1.645203594918892486e+04 2.000000000000000000e+02
1.619636018293322741e+04 3.000000000000000000e+02
1.459852621692957837e+04 4.000000000000000000e+02
1.271355629736641276e+04 5.000000000000000000e+02
1.258296986143475078e+04 6.000000000000000000e+02
1.288569917795751462e+04 7.000000000000000000e+02
1.410506534082577855e+04 8.000000000000000000e+02
1.485887037303092438e+04 9.000000000000000000e+02
1.558387515242881818e+04 1.000000000000000000e+03
1.508550803600578911e+04 1.100000000000000000e+03
1.509258663392506242e+04 1.200000000000000000e+03
1.509577397754213962e+04 1.300000000000000000e+03
1.510485952730809731e+04 1.400000000000000000e+03
1.510751456810427953e+04 1.500000000000000000e+03
1.571508386281629828e+04 1.600000000000000000e+03
1.585800731029135932e+04 1.700000000000000000e+03
1.586002226074046303e+04 1.800000000000000000e+03
1.586136542291896694e+04 1.900000000000000000e+03
1.595651248555520215e+04 2.000000000000000000e+03
1.599120510720959646e+04 2.100000000000000000e+03
1.599392182672646595e+04 2.200000000000000000e+03
1.599505011362168261e+04 2.300000000000000000e+03
1.602454584908609104e+04 2.400000000000000000e+03
1.603820790002395370e+04 2.500000000000000000e+03
1.603858353726860332e+04 2.600000000000000000e+03
1.603863934183008860e+04 2.700000000000000000e+03
