#IGD History: IGD value, true eval counters
1.047299054062478518e+02 0.000000000000000000e+00
1.047299054062478518e+02 1.000000000000000000e+02
3.121843369609725372e+01 2.000000000000000000e+02
3.075897735447024672e+01 3.000000000000000000e+02
1.976034699572037701e+00 4.000000000000000000e+02
1.771014742940032916e+00 5.000000000000000000e+02
1.646156234093441917e+00 6.000000000000000000e+02
1.066517533842810339e+00 7.000000000000000000e+02
8.801257420029442446e-01 8.000000000000000000e+02
8.801257420029442446e-01 9.000000000000000000e+02
7.268464678038533133e-01 1.000000000000000000e+03
5.933044415087123102e-01 1.100000000000000000e+03
7.192289553396306045e-01 1.200000000000000000e+03
6.877976297276185980e-01 1.300000000000000000e+03
6.292466212104421697e-01 1.400000000000000000e+03
6.108412359960501137e-01 1.500000000000000000e+03
6.093958401097882005e-01 1.600000000000000000e+03
6.112568467016892271e-01 1.700000000000000000e+03
