#HV History: HV value, true eval counters
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+02
1.945353786463214218e-01 2.000000000000000000e+02
1.952171857300609992e-01 3.000000000000000000e+02
5.511917187963686349e-01 4.000000000000000000e+02
5.511917187963686349e-01 5.000000000000000000e+02
5.512407633263600726e-01 6.000000000000000000e+02
5.644371960105241115e-01 7.000000000000000000e+02
5.674937205264090068e-01 8.000000000000000000e+02
5.674937205264090068e-01 9.000000000000000000e+02
5.699115284527207503e-01 1.000000000000000000e+03
5.705090359344360262e-01 1.100000000000000000e+03
5.709079831306407282e-01 1.200000000000000000e+03
5.711304504425902540e-01 1.300000000000000000e+03
5.713421336205852796e-01 1.400000000000000000e+03
5.714900608728401554e-01 1.500000000000000000e+03
5.717592948330596503e-01 1.600000000000000000e+03
5.717775198414638549e-01 1.700000000000000000e+03
