#HV History: HV value, true eval counters
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+02
0.000000000000000000e+00 2.000000000000000000e+02
2.708960485138076080e-02 3.000000000000000000e+02
1.094194826699376177e-01 4.000000000000000000e+02
2.148602308348279422e-01 5.000000000000000000e+02
3.356985411606676628e-01 6.000000000000000000e+02
5.306533613287516271e-01 7.000000000000000000e+02
5.379239015812001812e-01 8.000000000000000000e+02
5.412531916221225980e-01 9.000000000000000000e+02
5.477353113200106316e-01 1.000000000000000000e+03
5.499652468995849253e-01 1.100000000000000000e+03
5.540943300690381879e-01 1.200000000000000000e+03
5.697292584432167573e-01 1.300000000000000000e+03
5.697184746940935351e-01 1.400000000000000000e+03
5.703135507562434592e-01 1.500000000000000000e+03
5.707573722511832814e-01 1.600000000000000000e+03
5.713785448809302059e-01 1.700000000000000000e+03
5.718229884174754751e-01 1.800000000000000000e+03
5.718484215610276644e-01 1.900000000000000000e+03
5.721401352700412613e-01 2.000000000000000000e+03
5.721739997516360754e-01 2.100000000000000000e+03
5.723214543859685977e-01 2.200000000000000000e+03
5.723485923584444857e-01 2.300000000000000000e+03
5.722793758798784269e-01 2.400000000000000000e+03
5.723100101014564345e-01 2.500000000000000000e+03
5.724607797027757572e-01 2.600000000000000000e+03
5.724754271726200106e-01 2.700000000000000000e+03
